Table 1
Spanish-English Corpus (Only lines with Possessive Determiners)																									
	Total Source Corpus: Europarl Spanish (1000 sentences)																								
195	". (OF) Gentleman President, gentleman Commissioner, *Señorías, my participation in the present debate has like subject the Code of Helps to the Siderurgy, or was the public helps awarded in Europe of compliance with said Code and controlled by the Commission."	". (OF) Gentleman President, gentleman Commissioner, *Señorías, my participation in the present debate has like subject the Code of Helps to the Siderurgy, or was the public helps awarded in Europe of compliance with said Code and controlled by the Commission."																							
196	"In 1998 they examined  a total of 27 cases, on which the Commission has elaborated his own report."	"In 1998 they examined  a total of 27 cases, on which the Commission has elaborated his own report."																							
197	"Therefore, the subject that today has to concern us is especially the one of the future application of the helps to the siderurgy The European Parliament receives with satisfaction the decisions that exposes the Commission in his report, included the relative to the return of a help received in a concrete case, in application of the article 88 of the Treaty *CECA."	"Therefore, the subject that today has to concern us is especially the one of the future application of the helps to the siderurgy The European Parliament receives with satisfaction the decisions that exposes the Commission in his report, included the relative to the return of a help received in a concrete case, in application of the article 88 of the Treaty *CECA."																							
198	"In the last years, there has been, however, evident problems in the practical application of the Code of Helps to the Siderurgy that do not expose  in all his details in the report."	"In the last years, there has been, however, evident problems in the practical application of the Code of Helps to the Siderurgy that do not expose  in all their details in the report."																							
199	"In a relative report to the year 1999 that still is  drafting, urges  to the Commission to that it expose of way detailed his active participation in the preparation of plans of restructuring and the exceptions authorised, to end to be able to make an objective evaluation of the global circumstances on this base."	"In a relative report to the year 1999 that still is  drafting, urges  to the Commission to that it expose of way detailed his active participation in the preparation of plans of restructuring and the exceptions authorised, to end to be able to make an objective evaluation of the global circumstances on this base."																							
200	"After the unanimous approval of the report with two abstentions in the Commission of Economic and Monetary Subjects, I ask to the Plenary that spend advance in all his full appearances the proposal that now present."	"After the unanimous approval of the report with two abstentions in the Commission of Economic and Monetary Subjects, I ask to the Plenary that spend advance in all their full appearances the proposal that now present."																							
201	"Gentleman President, estimated and estimated pals, in my quality of novel euro-deputy, is a satisfaction for me can take part for the first time in the Plenary, although it was with a true delay."	"Gentleman President, estimated and estimated pals, in my quality of novel euro-deputy, is a satisfaction for me can take part for the first time in the Plenary, although it was with a true delay."																							
202	"No longer they could limit to present a notification and expect the permission, but each one would have to assume his own responsibility, and perhaps this explain the unrest that the proposal has generated among some."	"No longer they could limit to present a notification and expect the permission, but each one would have to assume his own responsibility, and perhaps this explain the unrest that the proposal has generated among some."																							
203	"It is necessary a main participation of the Parliament and the creation of a register that allow to check the degree of state fulfillment also could contribute to improve the discipline among the States members, to my look."	"It is necessary a main participation of the Parliament and the creation of a register that allow to check the degree of state fulfillment also could contribute to improve the discipline among the States members, to my look."																							
204	Cases in which a region has contributed with his own endeavour to the commercialisation of his products.	Cases in which a region has contributed with their own endeavour to the commercialisation of their products.																							
205	"To my way to see, also is necessary that suppress  the norm of *minimis."	"To my way to see, also is necessary that suppress  the norm of *minimis."																							
206	"Before finishing, a last consideration on the principle of subsidiariness: to my look is urgently necessary that maintain  the competition of the regions and the municipalities to collect taxes in the cases in which the States members allow it, and that this do not regulate  of uniform way from Europe."	"Before finishing, a last consideration on the principle of subsidiariness: to my look is urgently necessary that maintain  the competition of the regions and the municipalities to collect taxes in the cases in which the States members allow it, and that this do not regulate  of uniform way from Europe."																							
207	"Allow me that congratulate him by what in the German parliamentarism designates  -*injustificadamente in his case- as the ""speech of première"" (*Jungfernrede)."	"Allow me that congratulate him by what in the German parliamentarism designates  -*injustificadamente in his case- as the ""speech of première"" (*Jungfernrede)."																							
208	"Gentleman President, gentleman Commissioner, wanted pals, take part for my pal Robert *Goebbels, that has had to *ausentarse to attend to a political commitment."	"Gentleman President, gentleman Commissioner, wanted pals, take part for my pal Robert *Goebbels, that has had to *ausentarse to attend to a political commitment."																							
209	"Although our Parliament pursued mostly this concept *ultraliberal of a purportedly perfect market, the world would not change for that."	"Although our Parliament pursued mostly this concept *ultraliberal of a purportedly perfect market, the world would not change for that."																							
210	"Gentleman President, estimated Commissioner and estimated mates, will begin expressing my gratitude to the Mr. *Rapkay by the good report that has made and the good collaboration."	"Gentleman President, estimated Commissioner and estimated mates, will begin expressing my gratitude to the Mr. *Rapkay by the good report that has made and the good collaboration."																							
211	They are three fields in which a lot of Danish companies cross grave problems and are seeing  pushed out of his markets.	They are three fields in which a lot of Danish companies cross grave problems and are seeing  pushed out of their markets.																							
212	I want to say him to the Mr. *Poos that am very in accordance with the Mr. *Duisenberg in that these cases exemplify how some of the countries European members are not in conditions to restructure his economies and with this contribute to *minar the value of the euro.	I want to say him to the Mr. *Poos that am very in accordance with the Mr. *Duisenberg in that these cases exemplify how some of the countries European members are not in conditions to restructure their economies and with this contribute to *minar the value of the euro.																							
213	It would like me take advantage of this opportunity to thank my mates in the commission by his support to the amendments of the Liberal Group.	It would like me take advantage of this opportunity to thank my mates in the commission by his support to the amendments of the Liberal Group.																							
214	"Our proposals, as I have said, refer  to the transparency and would like me stand out the amendment that exhorts to the Commission to that present criteria and uniform conditions for the type of state helps that consider legal, precisely to guarantee that the companies can predict his situation."	"Our proposals, as I have said, refer  to the transparency and would like me stand out the amendment that exhorts to the Commission to that present criteria and uniform conditions for the type of state helps that consider legal, precisely to guarantee that the companies can predict their situation."																							
215	"Finally, we propose the preparation by a part of a register, as they have mentioned varied of my mates, and on the other hand also of a table of results that show the situation of the countries regarding the state helps."	"Finally, we propose the preparation by a part of a register, as they have mentioned varied of my mates, and on the other hand also of a table of results that show the situation of the countries regarding the state helps."																							
216	This is the source of inspiration of our proposal of a similar table for the state helps.	This is the source of inspiration of our proposal of a similar table for the state helps.																							
217	"I expect and I trust that you, Commissioner *Monti, back these proposals and await his commentaries and his posture in this regard."	"I expect and I trust that you, Commissioner *Monti, back these proposals and await his commentaries and his posture in this regard."																							
218	"However, as I already have mentioned, our last purpose has to keep on being the transparency and the clarity."	"However, as I already have mentioned, our last purpose has to keep on being the transparency and the clarity."																							
219	"Especially it is necessary in regard to the next enlargement and would want to express him my gratitude to the Mr. *Jonckheer, the one who has treated in his report very conscientiously all the problems related with the enlargement and with how ensure us that these countries fulfil our requirements and also that we compete in equality of conditions."	"Especially it is necessary in regard to the next enlargement and would want to express him my gratitude to the Mr. *Jonckheer, the one who has treated in his report very conscientiously all the problems related with the enlargement and with how ensure us that these countries fulfil our requirements and also that we compete in equality of conditions."																							
220	"It is evident that like liberal and green have different conceptions of the world, however, in our aims are to a large extent of agreement and will treat to find a reasonable solution to our problems."	"It is evident that like liberal and green have different conceptions of the world, however, in our aims are to a large extent of agreement and will treat to find a reasonable solution to our problems."																							
221	"This looks us relatively dangerous, but nevertheless will give him our favourable vote, because we recognise that the Commission can not do it everything."	"This looks us relatively dangerous, but nevertheless will give him our favourable vote, because we recognise that the Commission can not do it everything."																							
222	"Frankly, it would not have to occupy our debate of this situation?"	"Frankly, it would not have to occupy our debate of this situation?"																							
223	The workers confront  to the main assault to his labour and social rights.	The workers confront  to the main assault to their labour and social rights.																							
224	"The consumers assist to the *merma of his standard of living, to the generalisation of the poverty and to the disarticulation and dissolution of the public sector and of the productive base of the majority of the countries of the Union, for a violent and *desoladora competition, for the absolute market economy and of the impulse of the interests *monopolistas of the big capital."	"The consumers assist to the *merma of their standard of living, to the generalisation of the poverty and to the disarticulation and dissolution of the public sector and of the productive base of the majority of the countries of the Union, for a violent and *desoladora competition, for the absolute market economy and of the impulse of the interests *monopolistas of the big capital."																							
225	"We consider also responsible of all this to the politics of competition that exerts , and express our complete rejection to this politics."	"We consider also responsible of all this to the politics of competition that exerts , and express our complete rejection to this politics."																							
226	"In this field, the Commission has given priority to several axes of action: act on the structure of the markets through the active research of practices of fight against the corruption, orient the activity of control of his services only to the subjects that present a self-evident community interest and mark his will of modernisation of the Right of the competition."	"In this field, the Commission has given priority to several axes of action: act on the structure of the markets through the active research of practices of fight against the corruption, orient the activity of control of his services only to the subjects that present a self-evident community interest and mark his will of modernisation of the Right of the competition."																							
227	The national States would convert  like this in the secular arm of the Commission for the fulfillment of the application of some norms that escape to his competition.	The national States would convert  like this in the secular arm of the Commission for the fulfillment of the application of some norms that escape to their competition.																							
228	"While the criteria of the *UEM oblige to the States members to that they reduce his costs, maintains  the tall level of state helps to the private company."	"While the criteria of the *UEM oblige to the States members to that they reduce their costs, maintains  the tall level of state helps to the private company."																							
229	"Therefore, the amendments 6 and 7 of the speaker deserve our support."	"Therefore, the amendments 6 and 7 of the speaker deserve our support."																							
230	"Gentleman President, a White Book, by definition, is not done to take or leave, his function is the one to cause responses and this White Book has achieved it."	"Gentleman President, a White Book, by definition, is not done to take or leave, his function is the one to cause responses and this White Book has achieved it."																							
231	"I trust also in that you, Commissioner, want to maintain the reputation and the work done by his predecessors and that his services have the same aim."	"I trust also in that you, Commissioner, want to maintain the reputation and the work done by his predecessors and that his services have the same aim."																							
232	In third place would like me know if the Commission has researched which will be the consequences of his new politics regarding the strategy of the companies.	In third place would like me know if the Commission has researched which will be the consequences of their new politics regarding the strategy of the companies.																							
233	In fifth place is the imminent enlargement and ask me if the countries candidates are prepared for our game.	In fifth place is the imminent enlargement and ask me if the countries candidates are prepared for our game.																							
234	"In sixth and last place signal a question that already remembered in my report on the vertical restrictions, that is to say the ""legal "" *privilege"" of the lawyers of company."	"In sixth and last place signal a question that already remembered in my report on the vertical restrictions, that is to say the ""legal "" *privilege"" of the lawyers of company."																							
235	"If the Commission makes his proposals of the White Book, looks me that it will augment  the discrimination in the inner market among the external juridical aides and interns and that will do  therefore more unacceptable."	"If the Commission makes his proposals of the White Book, looks me that it will augment  the discrimination in the inner market among the external juridical aides and interns and that will do  therefore more unacceptable."																							
236	"Gentleman Commissioner, do him these questions like defender of the inner market and expect that in this sense are partners and that the discussion among these partners do not do  in vain but it give his fruits."	"Gentleman Commissioner, do him these questions like defender of the inner market and expect that in this sense are partners and that the discussion among these partners do not do  in vain but it give his fruits."																							
237	"Gentleman President, want that my first words, when initiating my intervention on the White Book, are of congratulation to the speaker, Mr. von Wogau."	"Gentleman President, want that my first words, when initiating my intervention on the White Book, are of congratulation to the speaker, Mr. von Wogau."																							
238	Of the tall degree of coincidence of the Group of the Party of the European Socialists with his report is evident test that have presented  in this formality an alone amendment.	Of the tall degree of coincidence of the Group of the Party of the European Socialists with his report is evident test that have presented  in this formality an alone amendment.																							
239	"In the actuality, know his *señorías that there are slopes two questions *prejudiciales in front of the Court of Justice, posed by both German courts, in which it questions  if possible apply the article 81.1 without being able to apply the 81.3."	"In the actuality, know his *señorías that there are slopes two questions *prejudiciales in front of the Court of Justice, posed by both German courts, in which it questions  if possible apply the article 81.1 without being able to apply the 81.3."																							
240	The voices in favour of his modification were unanimous.	The voices in favour of their modification were unanimous.																							
241	One of the most frequent critiques that do  of the community Right of the competition is his excessive formalism.	One of the most frequent critiques that do  of the community Right of the competition is their excessive formalism.																							
242	"Like consequence of the continental juridical tradition, the consideration that determinate agreements are or no *anticompetitivos depends more than the analysis of his clauses that of the effects in the market."	"Like consequence of the continental juridical tradition, the consideration that determinate agreements are or no *anticompetitivos depends more than the analysis of their clauses that of the effects in the market."																							
243	"The White Book pretends to resolve these problems and, therefore, lean his proposals."	"The White Book pretends to resolve these problems and, therefore, lean his proposals."																							
244	"Now well, if they approve  some of the amendments, particularly the presented by the parliamentary Group of the *PPE, would consider that the report would remain *desvirtuado, would #turn a contradictory document, lacking of rigour and, in this supposition, would reconsider our support."	"Now well, if they approve  some of the amendments, particularly the presented by the parliamentary Group of the *PPE, would consider that the report would remain *desvirtuado, would #turn a contradictory document, lacking of rigour and, in this supposition, would reconsider our support."																							
245	"Gentleman President, *Señorías, among the diverse subjects that contemplate  in this conjoint debate, would wish to do a reflection on which has treated our pal *Berenguer, that is to say, the modernisation of the politics of the competition, to which does reference the White Book of the Commission."	"Gentleman President, *Señorías, among the diverse subjects that contemplate  in this conjoint debate, would wish to do a reflection on which has treated our pal *Berenguer, that is to say, the modernisation of the politics of the competition, to which does reference the White Book of the Commission."																							
246	"The Commissioner *Monti obtains good results in his management, the same that his predecessor and, obviously, has established the guarantee that, of parallel way to the creation and to the development of the inner market European, has been able to establish the corresponding *correctivos so that the market economy inside the Union work adequately, without the deviations that the economists know that they can exist when  wide the market, as it has occurred in the European Union from the year 1993."	"The Commissioner *Monti obtains good results in his management, the same that his predecessor and, obviously, has established the guarantee that, of parallel way to the creation and to the development of the inner market European, has been able to establish the corresponding *correctivos so that the market economy inside the Union work adequately, without the deviations that the economists know that they can exist when  wide the market, as it has occurred in the European Union from the year 1993."																							
247	They have presented  diverse arguments to his favour.	They have presented  diverse arguments to their favour.																							
248	"The Mr. *Berenguer has offered a very adjusted analysis, justifying his need and the consistent reforms to improve the operation of the competition, but my worry is the one to ensure that the standards and criteria that will apply  through the corresponding administrations of the States members are really everywhere identical."	"The Mr. *Berenguer has offered a very adjusted analysis, justifying his need and the consistent reforms to improve the operation of the competition, but my worry is the one to ensure that the standards and criteria that will apply  through the corresponding administrations of the States members are really everywhere identical."																							
249	"Gentleman President, wanted to certify in the first place my recognition to the Commission by the improvement that represents the XXVIII report on the politics of competition in the Union, with regard to editions precedents."	"Gentleman President, wanted to certify in the first place my recognition to the Commission by the improvement that represents the XXVIII report on the politics of competition in the Union, with regard to editions precedents."																							
250	"And also I want to him lean fully in his commentary on the need to leave to the regions -as the Basque Country, to the *cual represent- a margin of action in virtue of the principle of subsidiariness."	"And also I want to him lean fully in his commentary on the need to leave to the regions -as the Basque Country, to the *cual represent- a margin of action in virtue of the principle of subsidiariness."																							
251	"However, I can not forget the critiques made in numerous occasions so much by the States members as by the operators of the market, that, in front of the wide margin of manoeuvre, of *discrecionalidad, recognised to the Commission to evaluate each concrete case, allege the existence of a juridical insecurity, to the not existing some clear rules of game that allow to the interested foresee the position of the authority and, like this, effect tightly his applications of help to the promotion of the economic activity and of the use, the approach of fusions of companies, etc."	"However, I can not forget the critiques made in numerous occasions so much by the States members as by the operators of the market, that, in front of the wide margin of manoeuvre, of *discrecionalidad, recognised to the Commission to evaluate each concrete case, allege the existence of a juridical insecurity, to the not existing some clear rules of game that allow to the interested foresee the position of the authority and, like this, effect tightly their applications of help to the promotion of the economic activity and of the use, the approach of fusions of companies, etc."																							
252	"Gentleman President, *Señorías, want to underline that, in a period of big changes from the technological point of view -suffices with seeing what is occurring in the sector of the information or in other sectors like the energy and the transports- the protection of the competition *revestirá a fundamental importance for our future."	"Gentleman President, *Señorías, want to underline that, in a period of big changes from the technological point of view -suffices with seeing what is occurring in the sector of the information or in other sectors like the energy and the transports- the protection of the competition *revestirá a fundamental importance for our future."																							
253	"I consider that, from the point of view of the economic growth and, therefore, of the increase of the use and of the wealth, defend a politics of competition in our States #turn a factor determinant and, definitely, fundamental for our future."	"I consider that, from the point of view of the economic growth and, therefore, of the increase of the use and of the wealth, defend a politics of competition in our States #turn a factor determinant and, definitely, fundamental for our future."																							
254	"I repeat that this will be very important for our future, for the economy of Europe and, especially, to protect our wealths and the technological development of Europe in general."	"I repeat that this will be very important for our future, for the economy of Europe and, especially, to protect our wealths and the technological development of Europe in general."																							
255	"This is what has done our speaker in the Commission of Economic and Monetary Subjects, the Mr. von Wogau."	"This is what has done our speaker in the Commission of Economic and Monetary Subjects, the Mr. von Wogau."																							
256	"I want to congratulate it, in spite of that, lamentably, is not present, by the complete and rigorous form as it has undertaken the preparation of his report... And also for having me endured like a spine nailed in his side!"	"I want to congratulate it, in spite of that, lamentably, is not present, by the complete and rigorous form as it has undertaken the preparation of his report... And also for having me endured like a spine nailed in his side!"																							
257	"Before it has said that the report has approved  with an important majority, but no with my support."	"Before it has said that the report has approved  with an important majority, but no with my support."																							
258	"So that, although I can not sharing his conclusions, think that has illustrated in his report many of the questions that the Commission has to accost."	"So that, although I can not sharing his conclusions, think that has illustrated in his report many of the questions that the Commission has to accost."																							
